SITE_ID,version,corr_uncorr_type_corr,flux_calc,openet_model,r2_corr,MAE_corr,MBE_corr,Latitude,Longitude,corr_uncorr_type_uncorr,r2_uncorr,MAE_uncorr,MBE_uncorr,r2_diff,MAE_diff,MBE_diff
Almond_High,v3,corr,Closed,EEMETRIC,0.852876242038207,27.057762038045873,13.32487554080077,36.169669,-120.201004,uncorr,0.8549752706773525,28.53852114543097,17.715517258544004,-0.0020990286391454616,-1.4807591073850972,-4.390641717743234
Almond_Med,v3,corr,Closed,EEMETRIC,0.890053759602254,30.7564017917017,20.117743973361165,36.177669,-120.202644999999,uncorr,0.8909461648214898,32.023295496380086,24.567036592118853,-0.0008924052192358367,-1.2668937046783881,-4.4492926187576884
BAR012,v3,corr,Closed,EEMETRIC,0.8743243693275318,15.866314302449553,11.11950886103505,38.751,-122.975,uncorr,0.8446130744197153,21.960358333655353,-10.138189092913352,0.029711294907816432,-6.094044031205801,21.2576979539484
RIP760,v3,corr,Closed,EEMETRIC,0.4489231881349432,23.898165690655773,-8.341516222478912,36.839,-120.21,uncorr,0.4290468495285272,33.171024321521266,-28.82784483757369,0.019876338606416022,-9.272858630865493,20.486328615094777
US-AR1,v3,corr,Closed,EEMETRIC,0.5276748774813443,23.116237571673754,-20.011609199886564,36.4267,-99.42,uncorr,0.5321833871006522,23.7337361201334,-20.860895690527133,-0.004508509619307821,-0.6174985484596469,0.8492864906405693
US-Bi1,v3,corr,Closed,EEMETRIC,0.8893396400215646,14.416627114003012,7.366413740830636,38.0991537999999,-121.49933,uncorr,0.876945535463301,16.56288780879175,-2.5802202025750143,0.012394104558263619,-2.1462606947887384,9.94663394340565
US-Bkg,v3,corr,Closed,EEMETRIC,0.8872715673640512,15.801217931858988,3.677071416601723,44.34529,-96.83617,uncorr,0.8804786895064638,22.073699741806163,-5.449054559014677,0.0067928778575874205,-6.272481809947175,9.1261259756164
US-Bo1,v3,corr,Closed,EEMETRIC,0.8973346408863663,11.756665082392193,7.208216294260324,40.0062,-88.2904,uncorr,0.8830158406710995,14.487956517230833,-0.9524558641273204,0.01431880021526677,-2.7312914348386403,8.160672158387644
US-Br1,v3,corr,Closed,EEMETRIC,0.8188108735734129,18.243875323531217,7.771728043916216,41.9749,-93.6906,uncorr,0.7942497994368027,20.549112334886644,-3.046187713596116,0.024561074136610128,-2.305237011355427,10.817915757512331
US-Br3,v3,corr,Closed,EEMETRIC,0.85759047702581,16.664450505818014,9.271134105803332,41.97472,-93.69357,uncorr,0.8372040180606786,19.8339764889202,-1.4294132384605789,0.02038645896513147,-3.1695259831021865,10.700547344263912
US-Dk1,v3,corr,Closed,EEMETRIC,0.6725418828765931,23.71940605831853,-6.494927396968171,35.9712,-79.09338,uncorr,0.6737980829751968,29.943757814886713,-21.180120580309797,-0.0012562000986037214,-6.224351756568183,14.685193183341626
US-Bi2,v3,corr,Closed,EEMETRIC,0.8391984628653287,19.609360156372617,4.539372010051601,38.109,-121.535,uncorr,0.8272088714996836,22.07568869494785,-5.154836919433318,0.011989591365645147,-2.466328538575233,9.694208929484919
US-Twt,v3,corr,Closed,EEMETRIC,0.9104845293965828,24.210375797041536,-18.584126542356625,38.1087203999999,-121.6531,uncorr,0.9206027576981436,30.768097050531452,-26.441478311821545,-0.010118228301560839,-6.557721253489916,7.85735176946492
US-KLS,v3,corr,Closed,EEMETRIC,0.6544153737631526,23.962356137407824,-17.00434950297548,38.7745,-97.5684,uncorr,0.6482215237740985,29.9155911743759,-25.6932371383269,0.006193849989054145,-5.953235036968078,8.68888763535142
US-Ro1,v3,corr,Closed,EEMETRIC,0.8081654533080428,20.783354295181,8.688818752115335,44.7143,-93.0898,uncorr,0.7649444176800975,22.88210540155358,-3.109349202260552,0.043221035627945326,-2.098751106372582,11.798167954375886
US-Ro2,v3,corr,Closed,EEMETRIC,0.9546199539135128,13.106152103700584,3.7582463252330713,44.7288,-93.0888,uncorr,0.9665747795180384,18.170813841599337,-10.486463721786423,-0.011954825604525543,-5.064661737898753,14.244710047019495
US-Ro6,v3,corr,Closed,EEMETRIC,0.85404088535352,14.04465128425875,2.8345450127373875,44.6946,-93.05776,uncorr,0.7823933886414359,19.48691369004878,-8.766262449610952,0.07164749671208404,-5.44226240579003,11.600807462348339
US-Tw3,v3,corr,Closed,EEMETRIC,0.8829731633057657,17.387990337765835,-2.225031316636611,38.1159,-121.6467,uncorr,0.873003321773429,20.86055908160675,-7.691434069663561,0.00996984153233671,-3.472568743840913,5.46640275302695
