Group,n stations,n days,min,max,median,q1,q3,mean,std
All Sites,776,4066298,0.73,1.66,1.14,1.06,1.2,1.14,0.11
East,312,1730559,0.96,1.43,1.17,1.11,1.22,1.17,0.09
West,464,2335739,0.73,1.66,1.11,1.03,1.18,1.11,0.12
Arid Steppe (Bsk + Bsh),247,1224392,0.85,1.41,1.07,1.01,1.16,1.08,0.1
Desert (Bwh + Bwk),44,198898,0.73,1.38,1.11,1.04,1.19,1.12,0.13
Humid Continental (Dfa + Dfb),182,1009962,0.85,1.37,1.15,1.1,1.2,1.14,0.08
Humid Subtropical (Cfa),190,1015031,0.96,1.43,1.17,1.11,1.23,1.17,0.1
Mediterranean (Csa + Csb),113,618015,0.92,1.66,1.18,1.11,1.27,1.19,0.12
