Group,n stations,n days,min,max,median,q1,q3,mean,std
All Sites,756,4190679,0.53,2.77,1.11,0.97,1.29,1.17,0.31
East,756,4190679,0.53,2.77,1.11,0.97,1.29,1.17,0.31
Arid Steppe (Bsk + Bsh),233,1240942,0.69,1.95,1.02,0.91,1.21,1.07,0.24
Desert (Bwh + Bwk),42,212832,0.53,1.53,1.11,0.97,1.21,1.1,0.21
Humid Continental (Dfa + Dfb),179,1010287,0.54,1.97,1.04,0.95,1.16,1.08,0.23
Humid Subtropical (Cfa),189,1100153,0.82,2.44,1.21,1.06,1.41,1.28,0.32
Mediterranean (Csa + Csb),113,626465,0.79,2.77,1.28,1.12,1.56,1.36,0.39
