Group,n stations,n days,min,max,median,q1,q3,mean,std
All Sites,755,4087910,0.43,1.15,0.94,0.9,0.97,0.94,0.06
East,755,4087910,0.43,1.15,0.94,0.9,0.97,0.94,0.06
Arid Steppe (Bsk + Bsh),232,1197114,0.76,1.15,0.93,0.89,0.97,0.93,0.06
Desert (Bwh + Bwk),42,212645,0.43,1.15,0.86,0.81,0.92,0.85,0.13
Humid Continental (Dfa + Dfb),179,988082,0.78,1.07,0.92,0.9,0.95,0.92,0.04
Humid Subtropical (Cfa),189,1059917,0.86,1.13,0.97,0.95,0.99,0.97,0.04
Mediterranean (Csa + Csb),113,630152,0.79,1.13,0.95,0.91,0.98,0.94,0.06
