Group,n stations,n days,min,max,median,q1,q3,mean,std
All Sites,775,4200852,0.93,1.24,1.05,1.03,1.08,1.05,0.04
East,312,1790330,1.02,1.18,1.07,1.05,1.09,1.07,0.03
West,463,2410522,0.93,1.24,1.04,1.01,1.07,1.04,0.04
Arid Steppe (Bsk + Bsh),240,1234954,0.93,1.24,1.02,1.01,1.05,1.03,0.04
Desert (Bwh + Bwk),42,211714,0.98,1.11,1.02,1.01,1.05,1.03,0.03
Humid Continental (Dfa + Dfb),190,1043681,0.94,1.12,1.07,1.04,1.08,1.06,0.03
Humid Subtropical (Cfa),190,1070499,1.01,1.18,1.06,1.04,1.09,1.07,0.03
Mediterranean (Csa + Csb),113,640004,0.97,1.22,1.08,1.06,1.1,1.08,0.04
