Group,n stations,n days,min,max,median,q1,q3,mean,std
All Sites,776,4066298,0.77,1.49,1.11,1.05,1.16,1.11,0.08
East,312,1730559,0.98,1.33,1.13,1.09,1.17,1.13,0.06
West,464,2335739,0.77,1.49,1.09,1.03,1.14,1.09,0.09
Arid Steppe (Bsk + Bsh),247,1224392,0.88,1.31,1.06,1.01,1.12,1.06,0.08
Desert (Bwh + Bwk),44,198898,0.77,1.3,1.09,1.03,1.14,1.09,0.1
Humid Continental (Dfa + Dfb),182,1009962,0.89,1.26,1.12,1.08,1.16,1.11,0.06
Humid Subtropical (Cfa),190,1015031,0.98,1.33,1.14,1.09,1.18,1.14,0.07
Mediterranean (Csa + Csb),113,618015,0.95,1.49,1.14,1.09,1.2,1.15,0.09
