Group,n stations,n days,min,max,median,q1,q3,mean,std
All Sites,756,4245236,-1.82,2.53,0.28,-0.05,0.61,0.28,0.55
East,756,4245236,-1.82,2.53,0.28,-0.05,0.61,0.28,0.55
Arid Steppe (Bsk + Bsh),233,1257016,-1.61,1.81,0.19,-0.18,0.61,0.19,0.59
Desert (Bwh + Bwk),42,212835,-0.63,1.79,0.39,0.05,0.94,0.5,0.65
Humid Continental (Dfa + Dfb),179,1046178,-0.91,1.44,0.16,-0.04,0.4,0.18,0.41
Humid Subtropical (Cfa),189,1089292,-1.82,2.53,0.45,0.23,0.69,0.45,0.44
Mediterranean (Csa + Csb),113,639915,-1.34,1.85,0.25,-0.19,0.66,0.24,0.71
