Group,n stations,n days,min,max,median,q1,q3,mean,std
All Sites,775,1067422,0.49,2.76,1.19,1.03,1.37,1.23,0.3
East,312,456876,0.76,2.72,1.27,1.13,1.46,1.32,0.31
West,463,610546,0.49,2.76,1.13,0.97,1.3,1.17,0.28
Arid Steppe (Bsk + Bsh),240,317212,0.7,1.77,1.09,0.95,1.27,1.11,0.22
Desert (Bwh + Bwk),42,54027,0.49,1.7,1.17,0.95,1.28,1.14,0.23
Humid Continental (Dfa + Dfb),190,261966,0.67,2.17,1.21,1.08,1.34,1.22,0.25
Humid Subtropical (Cfa),190,275897,0.84,2.72,1.31,1.14,1.56,1.38,0.34
Mediterranean (Csa + Csb),113,158320,0.69,2.76,1.24,1.08,1.4,1.28,0.35
