Group,n stations,n days,min,max,median,q1,q3,mean,std
All Sites,775,1057294,0.89,1.33,1.05,1.02,1.06,1.04,0.05
East,312,447852,1.01,1.22,1.05,1.04,1.07,1.06,0.03
West,463,609442,0.89,1.33,1.03,1.0,1.06,1.03,0.05
Arid Steppe (Bsk + Bsh),240,312490,0.89,1.28,1.03,1.0,1.04,1.02,0.05
Desert (Bwh + Bwk),42,53715,0.95,1.09,1.02,0.99,1.04,1.01,0.03
Humid Continental (Dfa + Dfb),190,262442,0.9,1.1,1.05,1.03,1.06,1.04,0.04
Humid Subtropical (Cfa),190,266851,1.02,1.22,1.06,1.05,1.08,1.07,0.03
Mediterranean (Csa + Csb),113,161796,0.95,1.33,1.06,1.04,1.09,1.07,0.05
