Group,n stations,n days,min,max,median,q1,q3,mean,std
All Sites,775,1078252,-1.9,3.82,0.44,0.02,0.94,0.5,0.78
East,312,460507,-1.63,3.02,0.54,0.19,0.9,0.53,0.55
West,463,617745,-1.9,3.82,0.37,-0.1,1.06,0.48,0.9
Arid Steppe (Bsk + Bsh),240,320485,-1.56,3.82,0.29,-0.18,0.84,0.36,0.8
Desert (Bwh + Bwk),42,53901,-0.66,3.39,0.71,0.34,1.6,0.99,1.01
Humid Continental (Dfa + Dfb),190,270995,-1.9,1.73,0.29,-0.01,0.59,0.28,0.53
Humid Subtropical (Cfa),190,271815,-1.63,3.02,0.66,0.29,0.98,0.65,0.57
Mediterranean (Csa + Csb),113,161056,-1.51,3.27,0.85,-0.03,1.5,0.76,1.05
