Group,n stations,n days,min,max,median,q1,q3,mean,std
All Sites,776,1022335,0.75,1.51,1.11,1.05,1.15,1.1,0.08
East,312,433774,0.96,1.27,1.13,1.1,1.15,1.12,0.05
West,464,588561,0.75,1.51,1.08,1.03,1.14,1.09,0.09
Arid Steppe (Bsk + Bsh),247,309470,0.88,1.3,1.06,1.01,1.11,1.06,0.08
Desert (Bwh + Bwk),44,50141,0.75,1.34,1.09,1.04,1.14,1.1,0.11
Humid Continental (Dfa + Dfb),182,254245,0.92,1.22,1.12,1.08,1.15,1.11,0.06
Humid Subtropical (Cfa),190,253561,0.96,1.27,1.12,1.09,1.15,1.12,0.06
Mediterranean (Csa + Csb),113,154918,0.91,1.51,1.14,1.08,1.19,1.14,0.09
