Group,n stations,n days,min,max,median,q1,q3,mean,std
All Sites,775,1075866,-2.09,5.49,0.31,-0.1,0.83,0.49,0.97
East,312,459897,-1.49,2.53,0.07,-0.22,0.39,0.09,0.48
West,463,615969,-2.09,5.49,0.59,0.02,1.37,0.76,1.12
Arid Steppe (Bsk + Bsh),240,320192,-2.09,4.39,0.55,0.02,1.25,0.68,0.98
Desert (Bwh + Bwk),42,53717,-1.98,5.16,1.91,1.01,2.69,2.03,1.45
Humid Continental (Dfa + Dfb),190,271175,-1.49,3.08,0.28,-0.07,0.63,0.31,0.72
Humid Subtropical (Cfa),190,271088,-1.09,2.53,-0.01,-0.27,0.26,0.01,0.47
Mediterranean (Csa + Csb),113,159694,-1.59,5.49,0.48,0.02,1.19,0.63,1.04
