Group,n stations,n days,min,max,median,q1,q3,mean,std
All Sites,774,1039640,0.39,1.23,0.94,0.89,0.98,0.94,0.08
East,312,440428,0.83,1.16,0.96,0.92,0.99,0.96,0.06
West,462,599212,0.39,1.23,0.93,0.87,0.97,0.92,0.09
Arid Steppe (Bsk + Bsh),239,305915,0.68,1.23,0.93,0.88,0.97,0.93,0.08
Desert (Bwh + Bwk),42,53847,0.39,1.17,0.85,0.8,0.93,0.85,0.14
Humid Continental (Dfa + Dfb),190,256243,0.74,1.1,0.92,0.89,0.94,0.92,0.05
Humid Subtropical (Cfa),190,264802,0.87,1.16,0.98,0.95,1.01,0.98,0.05
Mediterranean (Csa + Csb),113,158833,0.7,1.17,0.95,0.89,0.98,0.94,0.08
