Group,n stations,n days,min,max,median,q1,q3,mean,std
All Sites,776,1022335,0.7,1.71,1.15,1.07,1.2,1.14,0.11
East,312,433774,0.94,1.37,1.18,1.13,1.22,1.17,0.08
West,464,588561,0.7,1.71,1.11,1.04,1.19,1.12,0.12
Arid Steppe (Bsk + Bsh),247,309470,0.86,1.42,1.08,1.01,1.16,1.09,0.1
Desert (Bwh + Bwk),44,50141,0.7,1.47,1.13,1.05,1.19,1.14,0.15
Humid Continental (Dfa + Dfb),182,254245,0.88,1.37,1.17,1.11,1.21,1.15,0.08
Humid Subtropical (Cfa),190,253561,0.94,1.36,1.17,1.12,1.22,1.16,0.08
Mediterranean (Csa + Csb),113,154918,0.88,1.71,1.18,1.1,1.25,1.19,0.12
