SITE_ID,version,corr_uncorr_type_corr,flux_calc,openet_model,r2_corr,MAE_corr,MBE_corr,Latitude,Longitude,corr_uncorr_type_uncorr,r2_uncorr,MAE_uncorr,MBE_uncorr,r2_diff,MAE_diff,MBE_diff
ALARC2_Smith6,v3,corr,Closed,EEMETRIC,0.995097096897235,27.867787180555855,-27.867787180555855,32.6972696111111,-114.515439638888,uncorr,0.9962489879403826,45.630238501148995,-45.630238501148995,-0.0011518910431476126,-17.76245132059314,17.76245132059314
Almond_High,v3,corr,Closed,EEMETRIC,0.852876242038207,27.057762038045873,13.32487554080077,36.169669,-120.201004,uncorr,0.8549752706773525,28.53852114543097,17.715517258544004,-0.0020990286391454616,-1.4807591073850972,-4.390641717743234
Almond_Med,v3,corr,Closed,EEMETRIC,0.890053759602254,30.7564017917017,20.117743973361165,36.177669,-120.202644999999,uncorr,0.8909461648214898,32.023295496380086,24.567036592118853,-0.0008924052192358367,-1.2668937046783881,-4.4492926187576884
BAR012,v3,corr,Closed,EEMETRIC,0.8743243693275318,15.866314302449553,11.11950886103505,38.751,-122.975,uncorr,0.8446130744197153,21.960358333655353,-10.138189092913352,0.029711294907816432,-6.094044031205801,21.2576979539484
B_01,v3,corr,Closed,EEMETRIC,0.8905375768042991,13.949286583617912,-11.496289010826402,39.055,-119.134,uncorr,0.8941771642898613,27.206917244721208,-26.788880107744426,-0.0036395874855621457,-13.257630661103295,15.292591096918024
ET_8,v3,corr,Closed,EEMETRIC,0.904702928240422,13.66876691027664,-2.25362218295634,38.859,-119.764,uncorr,0.8967365201045181,15.238870091438692,-9.706949018006709,0.00796640813590388,-1.570103181162052,7.453326835050369
JPL1_Smith5,v3,corr,Closed,EEMETRIC,0.9872916164374635,8.04181988845285,-6.825911642237803,32.6974669444444,-114.519512111111,uncorr,0.9881778417196152,15.274397141684595,-15.274397141684595,-0.0008862252821516536,-7.232577253231746,8.448485499446793
RIP760,v3,corr,Closed,EEMETRIC,0.4489231881349432,23.898165690655773,-8.341516222478912,36.839,-120.21,uncorr,0.4290468495285272,33.171024321521266,-28.82784483757369,0.019876338606416022,-9.272858630865493,20.486328615094777
S2,v3,corr,Closed,EEMETRIC,0.9281143254898586,12.836413924976643,0.356578766372387,43.41712,-118.61424,uncorr,0.9190699522206,17.716871184825276,-8.63876994841781,0.009044373269258665,-4.880457259848633,8.995348714790197
UA1_HartFarm,v3,corr,Closed,EEMETRIC,0.9984740013725788,27.74863851868376,-27.74863851868376,33.0774250555555,-112.112065138888,uncorr,0.9987788675029576,30.00191316971899,-30.00191316971899,-0.0003048661303788336,-2.2532746510352304,2.2532746510352304
UA1_JV187,v3,corr,Closed,EEMETRIC,0.8773128486354632,22.01840582850943,-22.01840582850943,32.7065349444444,-114.708499,uncorr,0.9092116623688832,27.56854229729644,-27.56854229729644,-0.03189881373341996,-5.550136468787009,5.550136468787009
UA1_KN18,v3,corr,Closed,EEMETRIC,1.0,7.725310333231349,-1.1115957707949065,32.77623375,-114.588797555555,uncorr,1.0,9.275734697354425,-5.499924036986499,0.0,-1.5504243641230762,4.388328266191593
UA2_JV330,v3,corr,Closed,EEMETRIC,,29.731923855764855,-29.731923855764855,32.7122326666666,-114.574187555555,uncorr,,34.23680412047032,-34.23680412047032,,-4.504880264705463,4.504880264705463
UA2_KN20,v3,corr,Closed,EEMETRIC,,10.527389172101906,-10.527389172101906,32.7794754166666,-114.581087027777,uncorr,,16.49734171643466,-16.49734171643466,,-5.969952544332756,5.969952544332756
