SITE_ID,Latitude,Longitude,corr_uncorr_type,r2,MAE,MBE
US-Ro5,44.691,-93.0576,Uncorrected,0.9333601068806021,0.43125739037148497,-0.31106636197987103
US-Ro5,44.691,-93.0576,Corrected,0.9518560146291217,0.36057284552613794,0.28074410246928266
US-Ro2,44.7288,-93.0888,Uncorrected,0.9303947541537176,0.38143030252035975,-0.26488010348854224
US-Ro2,44.7288,-93.0888,Corrected,0.9478373397244753,0.4399842090070037,0.3834280310639689
US-Ro3,44.7217,-93.0893,Uncorrected,0.9341174425782842,0.41468067614320064,-0.14675251505685574
US-Ro3,44.7217,-93.0893,Corrected,0.9533821164969375,0.4852845484553846,0.41580970832902553
RIP760,36.839,-120.21,Uncorrected,0.8906495079861095,1.924122203594675,-1.924122203594675
RIP760,36.839,-120.21,Corrected,0.8990005145155062,1.2530204197753354,-1.2473712176641787
US-KLS,38.7745,-97.5684,Uncorrected,0.8817938976346258,0.8765827412381535,-0.8581120068287822
US-KLS,38.7745,-97.5684,Corrected,0.8288977824723723,0.6678329105153447,-0.584467910963993
Almond_Med,36.177669,-120.202644999999,Uncorrected,0.9479197469582669,1.0831651281118155,-1.0307896634083487
Almond_Med,36.177669,-120.202644999999,Corrected,0.9474032934295814,1.2214531733421847,-1.2154500030372903
US-Bi1,38.0991537999999,-121.49933,Uncorrected,0.9354953809670267,0.6065104768385868,-0.4299327571378852
US-Bi1,38.0991537999999,-121.49933,Corrected,0.9491741332671291,0.38604638149267456,0.10817405198313969
US-Br3,41.97472,-93.69357,Uncorrected,0.8051281407435945,1.231854762463573,-1.215583402954186
US-Br3,41.97472,-93.69357,Corrected,0.821584549367862,0.7068883660967883,-0.5911820542960303
US-Twt,38.1087203999999,-121.6531,Uncorrected,0.8441335272079483,0.7729118661499804,-0.30435715959307563
US-Twt,38.1087203999999,-121.6531,Corrected,0.8613778665966756,0.6264700477953092,-0.011773599069387384
US-Br1,41.9749,-93.6906,Uncorrected,0.811936838262204,1.258158109418659,-1.248473867319163
US-Br1,41.9749,-93.6906,Corrected,0.8217824641332883,0.7291037188075046,-0.6279563869213081
US-Ro6,44.6946,-93.05776,Uncorrected,0.9506543576915637,0.3317217653328529,-0.12474667715779644
US-Ro6,44.6946,-93.05776,Corrected,0.9499567967365626,0.4913041748928346,0.4577936507590679
US-Ro1,44.7143,-93.0898,Uncorrected,0.8326008688929233,0.6277877301539847,-0.4698708100699204
US-Ro1,44.7143,-93.0898,Corrected,0.8727451802719937,0.492510536934917,0.19231519026646207
US-Tw3,38.1159,-121.6467,Uncorrected,0.9250377011148303,0.5055850758449684,-0.2062896524234978
US-Tw3,38.1159,-121.6467,Corrected,0.9264454168518419,0.5008247221135155,0.10987999756999958
US-Dk1,35.9712,-79.09338,Uncorrected,0.8828631410782349,0.8819639566686104,-0.8105191086889556
US-Dk1,35.9712,-79.09338,Corrected,0.9103557231671011,0.3724142269032265,-0.03088914532348746
US-Tw2,38.1047,-121.6433,Uncorrected,0.7855893851518494,0.9706966874142999,-0.2089875315400592
US-Tw2,38.1047,-121.6433,Corrected,0.8154749517237571,0.8163368679604964,0.10996233177456938
US-Bo1,40.0062,-88.2904,Uncorrected,0.8681349667890899,1.1310542578751623,-1.1310542578751623
US-Bo1,40.0062,-88.2904,Corrected,0.8339621891656223,0.7588961442146697,-0.7162368410142271
Almond_Low,36.946608,-120.10237,Uncorrected,0.9122334423054437,1.4022939402007781,-1.3914250749593207
Almond_Low,36.946608,-120.10237,Corrected,0.9174685414922372,0.775589115415435,-0.7337731584819054
US-Bkg,44.34529,-96.83617,Uncorrected,0.7820799950299568,1.316402258349393,-1.302908295219851
US-Bkg,44.34529,-96.83617,Corrected,0.8017935548892806,0.88089963725091,-0.8133675269772589
US-Bi2,38.109,-121.535,Uncorrected,0.8799277445723935,0.6587126678657251,-0.28934132665496237
US-Bi2,38.109,-121.535,Corrected,0.91219476919456,0.5135108021080267,0.286188770996712
BAR012,38.751,-122.975,Uncorrected,0.7989341144222577,1.8522238615041267,-1.8431347814335264
BAR012,38.751,-122.975,Corrected,0.8236858432726677,0.702753772701211,-0.46377073059373597
US-OF6,35.729972,-90.0403329999999,Uncorrected,0.4331855117260356,0.3219141298707279,-0.3071644260056399
US-OF6,35.729972,-90.0403329999999,Corrected,0.7523456434330313,0.31224723707738045,0.28621884807272924
US-xSL,40.4619,-103.0293,Uncorrected,0.9709392184952929,0.32872919271029677,-0.2632592910286142
US-xSL,40.4619,-103.0293,Corrected,0.9694790565163458,0.3435620603710749,-0.2769454738282542
SLM001,38.289,-121.118,Uncorrected,0.8886415067378539,1.3408277278747736,-1.314838827708014
SLM001,38.289,-121.118,Corrected,0.8983466367255557,0.6934713149886947,-0.6264722612509536
US-AR1,36.4267,-99.42,Uncorrected,0.9379353396964377,0.7771593948539143,-0.6590157370865172
US-AR1,36.4267,-99.42,Corrected,0.9394720690635947,0.7055103543736159,-0.585122645815322
US-OF1,35.7370669999999,-90.0492,Uncorrected,0.7248592238890924,0.6246403051321859,-0.543699653203929
US-OF1,35.7370669999999,-90.0492,Corrected,0.6529437430399502,0.5648445798078707,0.05741007469615011
Ellendale,29.633321,-90.827662,Uncorrected,0.7902225292210677,0.8725317155123544,0.7507431553237893
Ellendale,29.633321,-90.827662,Corrected,0.802465349484689,1.438784613175903,1.438784613175903
US-Mj1,46.99475,-109.61375,Uncorrected,0.7714488237600533,0.5874611684243335,-0.4370283831085477
US-Mj1,46.99475,-109.61375,Corrected,0.7552690780806789,0.4324732898380014,-0.12367460483735467
US-OF2,35.7406,-90.0489,Uncorrected,0.9056247302932611,0.20945550757934597,-0.05681226175938928
US-OF2,35.7406,-90.0489,Corrected,0.846702220934595,0.5823060520299784,0.5823060520299784
Almond_High,36.169669,-120.201004,Uncorrected,0.9484461459535244,1.0124671960718012,-0.9362260920170549
Almond_High,36.169669,-120.201004,Corrected,0.9476944594206081,1.1509058948054667,-1.13334435239409
US-Mj2,46.9957,-109.6295,Uncorrected,0.7268585047134414,0.6256858548093128,-0.26627142913436647
US-Mj2,46.9957,-109.6295,Corrected,0.7529561481982722,0.7718287522141346,0.03319108796819307
US-OF4,35.734346,-90.037982,Uncorrected,0.7329393102937108,0.319946224889896,-0.319946224889896
US-OF4,35.734346,-90.037982,Corrected,0.42834955397279784,0.5709579775782473,0.4003659466222838
