SITE_ID,version,corr_uncorr_type,flux_calc,openet_model,r2,MAE,MBE,Latitude,Longitude
Almond_High,v3,corr,Closed,EEMETRIC,0.852876242038207,27.057762038045873,13.32487554080077,36.169669,-120.201004
Almond_High,v3,corr,Closed,SSEBOP,0.8945160483608839,21.12865669453254,-16.533801245690444,36.169669,-120.201004
Almond_High,v3,corr,Closed,SIMS,0.8998285639448728,16.922906572247285,3.1873910752540167,36.169669,-120.201004
Almond_High,v3,corr,Closed,GEESEBAL,0.892942342620406,20.589999219889833,11.690391405428786,36.169669,-120.201004
Almond_High,v3,corr,Closed,PTJPL,0.9094181928717868,21.00905512954096,-5.612522524791061,36.169669,-120.201004
Almond_High,v3,corr,Closed,DISALEXI,0.8990301005449307,19.29452716230479,-0.4250933819322504,36.169669,-120.201004
Almond_High,v3,corr,Closed,ensemble_mean,0.9126174476585336,17.224151009278085,2.338172181967044,36.169669,-120.201004
Almond_Low,v3,corr,Closed,EEMETRIC,0.9056489681502838,29.87284792803623,23.09045447112422,36.946608,-120.10237
Almond_Low,v3,corr,Closed,SSEBOP,0.8858142574803184,27.6300375762314,15.525650590062243,36.946608,-120.10237
Almond_Low,v3,corr,Closed,SIMS,0.8879529442218443,32.15064598948735,23.986370648932088,36.946608,-120.10237
Almond_Low,v3,corr,Closed,GEESEBAL,0.9349055487500908,30.78674334720785,29.909656287313982,36.946608,-120.10237
Almond_Low,v3,corr,Closed,PTJPL,0.9466904102599772,28.889050122698137,23.983122787304172,36.946608,-120.10237
Almond_Low,v3,corr,Closed,DISALEXI,0.939378741402814,35.248788073833104,32.172021478824234,36.946608,-120.10237
Almond_Low,v3,corr,Closed,ensemble_mean,0.9382893385263144,28.946433589882727,24.631249004409376,36.946608,-120.10237
Almond_Med,v3,corr,Closed,EEMETRIC,0.890053759602254,30.7564017917017,20.117743973361165,36.177669,-120.202644999999
Almond_Med,v3,corr,Closed,SSEBOP,0.9363744846904004,17.43144661355021,-12.434454700088065,36.177669,-120.202644999999
Almond_Med,v3,corr,Closed,SIMS,0.907619482626554,21.08837318496413,9.252046139061852,36.177669,-120.202644999999
Almond_Med,v3,corr,Closed,GEESEBAL,0.90585712336464,25.308715806536757,18.580920412665886,36.177669,-120.202644999999
Almond_Med,v3,corr,Closed,PTJPL,0.9159929129109794,22.78124090985948,0.546292348964104,36.177669,-120.202644999999
Almond_Med,v3,corr,Closed,DISALEXI,0.9126520803052348,21.642067483632427,5.44759232076377,36.177669,-120.202644999999
Almond_Med,v3,corr,Closed,ensemble_mean,0.9196973015443454,20.760519762780326,8.480724539252588,36.177669,-120.202644999999
BAR012,v3,corr,Closed,EEMETRIC,0.8743243693275318,15.866314302449553,11.11950886103505,38.751,-122.975
BAR012,v3,corr,Closed,SSEBOP,0.804583861166565,24.163546942049884,-23.298744616411163,38.751,-122.975
BAR012,v3,corr,Closed,SIMS,0.9196663251922708,9.63176543006314,-3.7480758945053263,38.751,-122.975
BAR012,v3,corr,Closed,GEESEBAL,0.6308249466943203,24.06256502932119,15.57857791153302,38.751,-122.975
BAR012,v3,corr,Closed,PTJPL,0.7878347885267364,23.75623010414884,-23.577789484005155,38.751,-122.975
BAR012,v3,corr,Closed,DISALEXI,0.9428815985372226,8.343191932760577,-1.9536305783277037,38.751,-122.975
BAR012,v3,corr,Closed,ensemble_mean,0.9304523438562584,9.368371350213769,-6.0542902239527825,38.751,-122.975
Ellendale,v3,corr,Closed,EEMETRIC,0.7876656351424821,28.077078090923955,28.077078090923955,29.633321,-90.827662
Ellendale,v3,corr,Closed,SSEBOP,0.6792887258458311,31.088973029449537,29.614546060174433,29.633321,-90.827662
Ellendale,v3,corr,Closed,SIMS,0.7890558418638441,13.156209135205168,-2.4534792441176685,29.633321,-90.827662
Ellendale,v3,corr,Closed,GEESEBAL,0.7150932979239957,28.711606755608152,14.288200768694628,29.633321,-90.827662
Ellendale,v3,corr,Closed,PTJPL,0.8928301002954129,11.834290896533169,9.11581127478046,29.633321,-90.827662
Ellendale,v3,corr,Closed,DISALEXI,0.7976073731482373,21.03731243447456,16.31071838560685,29.633321,-90.827662
Ellendale,v3,corr,Closed,ensemble_mean,0.8191496817049306,17.740259879474717,15.718336098611337,29.633321,-90.827662
RIP760,v3,corr,Closed,EEMETRIC,0.4489231881349432,23.898165690655773,-8.341516222478912,36.839,-120.21
RIP760,v3,corr,Closed,SSEBOP,0.6669875941536682,41.484242435518254,-41.484242435518254,36.839,-120.21
RIP760,v3,corr,Closed,SIMS,0.7680416550521239,20.55904417482546,17.51856937765633,36.839,-120.21
RIP760,v3,corr,Closed,GEESEBAL,0.395917477443604,22.8400124657963,-5.542663193106165,36.839,-120.21
RIP760,v3,corr,Closed,PTJPL,0.6910986090580007,19.6907665757157,-15.43783861999456,36.839,-120.21
RIP760,v3,corr,Closed,DISALEXI,0.8233896991948804,14.98757549570442,-9.514598450218,36.839,-120.21
RIP760,v3,corr,Closed,ensemble_mean,0.6894116021088643,20.32400615643696,-9.867522528296234,36.839,-120.21
SLM001,v3,corr,Closed,EEMETRIC,0.8007548530068792,20.409973331996017,10.84076284741103,38.289,-121.118
SLM001,v3,corr,Closed,SSEBOP,0.8933214498750398,29.679451707068175,-29.679451707068175,38.289,-121.118
SLM001,v3,corr,Closed,SIMS,0.910043652964203,14.930828927651316,9.513203928066028,38.289,-121.118
SLM001,v3,corr,Closed,GEESEBAL,0.7200503908992071,19.008972265307843,-1.5423314420158114,38.289,-121.118
