SITE_ID,version,corr_uncorr_type,flux_calc,openet_model,r2,MAE,MBE,Latitude,Longitude
ALARC2_Smith6,v3,corr,Closed,EEMETRIC,0.7706420861549355,1.0714965289555434,-0.8532171726920798,32.6972696111111,-114.515439638888
ALARC2_Smith6,v3,corr,Closed,SSEBOP,0.808549570618837,0.835968548180814,-0.30300580365031154,32.6972696111111,-114.515439638888
ALARC2_Smith6,v3,corr,Closed,SIMS,0.8765556060131982,0.8966923226451708,0.5479593690564643,32.6972696111111,-114.515439638888
ALARC2_Smith6,v3,corr,Closed,GEESEBAL,0.6791045139159174,0.9397965632413189,-0.16769453622867259,32.6972696111111,-114.515439638888
ALARC2_Smith6,v3,corr,Closed,PTJPL,0.8853613601175517,0.7251852730887803,0.1210808343728634,32.6972696111111,-114.515439638888
ALARC2_Smith6,v3,corr,Closed,DISALEXI,0.8069722672404311,0.7827760177952636,-0.08411420981100916,32.6972696111111,-114.515439638888
ALARC2_Smith6,v3,corr,Closed,ensemble_mean,0.8611131826350747,0.6912410581701894,-0.07043112854276226,32.6972696111111,-114.515439638888
Almond_High,v3,corr,Closed,EEMETRIC,0.6825430102884616,1.2387369012048104,0.4717307690911899,36.169669,-120.201004
Almond_High,v3,corr,Closed,SSEBOP,0.7529391842434879,1.0703291418906977,-0.677913608858165,36.169669,-120.201004
Almond_High,v3,corr,Closed,SIMS,0.794778776554057,0.8994145367313099,0.22366086489555734,36.169669,-120.201004
Almond_High,v3,corr,Closed,GEESEBAL,0.7628901892120855,1.0869204514273367,0.4961349551432185,36.169669,-120.201004
Almond_High,v3,corr,Closed,PTJPL,0.7974377174446188,0.9815020907670581,-0.12772047333447406,36.169669,-120.201004
Almond_High,v3,corr,Closed,DISALEXI,0.7756131627895605,0.920486845995725,-0.03353654154676559,36.169669,-120.201004
Almond_High,v3,corr,Closed,ensemble_mean,0.801382185092784,0.8920523556240307,0.1154646211418087,36.169669,-120.201004
Almond_Low,v3,corr,Closed,EEMETRIC,0.7741063132620676,1.228823368499141,0.7999927616780732,36.946608,-120.10237
Almond_Low,v3,corr,Closed,SSEBOP,0.767027864432941,1.136510875801463,0.4985829242393519,36.946608,-120.10237
Almond_Low,v3,corr,Closed,SIMS,0.7577505532029496,1.3457177224017847,0.9277946888592856,36.946608,-120.10237
Almond_Low,v3,corr,Closed,GEESEBAL,0.807827417808507,1.3310666478746433,1.0610604990191346,36.946608,-120.10237
Almond_Low,v3,corr,Closed,PTJPL,0.7878774402429093,1.3457061121310852,0.8786063098171554,36.946608,-120.10237
Almond_Low,v3,corr,Closed,DISALEXI,0.8040982744350952,1.3382782167800455,1.0507586178529975,36.946608,-120.10237
Almond_Low,v3,corr,Closed,ensemble_mean,0.8342777919808865,1.189478732464335,0.8935151573804372,36.946608,-120.10237
Almond_Med,v3,corr,Closed,EEMETRIC,0.7310742775788217,1.4298637316252045,0.8063641519288617,36.177669,-120.202644999999
Almond_Med,v3,corr,Closed,SSEBOP,0.8160394937405258,0.9880386957369459,-0.3793189466384939,36.177669,-120.202644999999
Almond_Med,v3,corr,Closed,SIMS,0.8070320786627442,1.0616258099936593,0.5416930971699594,36.177669,-120.202644999999
Almond_Med,v3,corr,Closed,GEESEBAL,0.8000586015156187,1.2737681685464617,0.8453467272232482,36.177669,-120.202644999999
Almond_Med,v3,corr,Closed,PTJPL,0.7945073123916195,1.162464677575045,0.22300131103820056,36.177669,-120.202644999999
Almond_Med,v3,corr,Closed,DISALEXI,0.832206160020981,1.023152709833565,0.3185469093074835,36.177669,-120.202644999999
Almond_Med,v3,corr,Closed,ensemble_mean,0.8283169763872008,1.0721735388520146,0.44857604018743974,36.177669,-120.202644999999
BAR012,v3,corr,Closed,EEMETRIC,0.4750713893096145,1.0646440736686258,0.43134683857327266,38.751,-122.975
BAR012,v3,corr,Closed,SSEBOP,0.6218281307721224,0.9947795737303989,-0.7472963125258025,38.751,-122.975
BAR012,v3,corr,Closed,SIMS,0.7870694254727306,0.4851884543986226,-0.13437631300433836,38.751,-122.975
BAR012,v3,corr,Closed,GEESEBAL,0.14030378363455115,1.5003238969389219,0.5288607267225001,38.751,-122.975
BAR012,v3,corr,Closed,PTJPL,0.7015948717653865,0.969606186260696,-0.7926015160814309,38.751,-122.975
BAR012,v3,corr,Closed,DISALEXI,0.7263474311906557,0.5750549083394371,-0.1364398877764741,38.751,-122.975
BAR012,v3,corr,Closed,ensemble_mean,0.7595515419351354,0.573782893921085,-0.21582969095873045,38.751,-122.975
B_01,v3,corr,Closed,EEMETRIC,0.7286151302314718,0.8483050222435659,-0.3379302923407992,39.055,-119.134
B_01,v3,corr,Closed,SSEBOP,0.779311275332799,1.0438876349901305,0.7058029187952803,39.055,-119.134
B_01,v3,corr,Closed,SIMS,0.7591711295156375,0.7095433622582857,0.30584357771561665,39.055,-119.134
B_01,v3,corr,Closed,GEESEBAL,0.7348961243550433,1.0059630442335072,0.3563167187235687,39.055,-119.134
B_01,v3,corr,Closed,PTJPL,0.7479950399836087,0.7046820081720709,0.2228773518947135,39.055,-119.134
B_01,v3,corr,Closed,DISALEXI,0.7296510543279265,1.0453867507231716,0.5164403876285888,39.055,-119.134
B_01,v3,corr,Closed,ensemble_mean,0.7988803204530437,0.7506460805968644,0.28839915268513505,39.055,-119.134
B_11,v3,corr,Closed,EEMETRIC,0.8679227359597976,0.8717252125136874,0.6233033632759112,39.108,-119.146
B_11,v3,corr,Closed,SSEBOP,0.876661446238637,1.2367166220968073,1.1848427165560675,39.108,-119.146
