Metric_Combination,Number_of_Sites,Site_IDs
All Metrics,2,"LYS_NE, LYS_SE"
MBE,6,"Almond_High, Almond_Med, LYS_NE, LYS_NW, LYS_SE, LYS_SW"
MAE,24,"ALARC2_Smith6, BAR012, B_01, JPL1_Smith5, LYS_NE, LYS_SE, LYS_SW, RIP760, S2, SLM001, UA1_HartFarm, UA1_KN18, UA2_JV330, US-AR1, US-Bo1, US-Br1, US-Br3, US-Twt, US-KLS, US-Ne1, US-Ne2, US-Ne3, US-Tw2, US-Tw3"
R²,33,"Almond_High, Almond_Low, Almond_Med, BAR012, B_01, B_11, Ellendale, ET_8, JPL1_Smith5, LYS_NE, LYS_SE, manilacotton, RIP760, S2, UA1_HartFarm, UA1_JV187, UA1_KN18, UA3_JV108, US-ARM, US-Bi1, US-Bo1, US-Br1, US-Br3, US-Bi2, US-KLS, US-Ne1, US-Ne2, US-Ne3, US-OF1, US-Ro1, US-Ro5, US-Ro6, US-Tw3"
